Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
NMI,0.25,DAL,83.99,45.43,16.39,59.96,73.79,54.03,89.52,75.13,72.38,62.58,92.78,32.01,63.17
NMI,0.25,GeoID,99.95,75.34,42.15,67.61,84.24,75.69,93.80,84.07,77.89,70.28,92.42,35.98,74.95
NMI,0.25,SDC,80.09,72.31,35.78,64.22,70.82,70.48,85.69,78.58,78.29,58.32,87.38,34.21,68.01
NMI,0.25,DPN,90.50,58.02,16.63,61.49,66.78,27.53,82.42,59.97,66.73,46.72,90.83,29.43,58.09
NMI,0.25,TAN,95.24,67.57,24.33,64.43,68.74,32.31,83.70,64.54,71.17,49.26,92.35,29.96,61.97
NMI,0.25,LOOP,94.26,72.02,43.13,68.41,84.53,78.48,94.98,86.31,80.31,72.31,92.61,37.54,75.41
NMI,0.25,ALUP,98.96,75.84,41.35,68.34,84.18,76.19,94.48,84.91,82.68,69.28,93.63,37.50,75.61
NMI,0.5,DAL,96.78,60.51,29.84,68.64,80.34,69.87,92.73,81.71,75.90,76.19,93.50,32.08,71.51
NMI,0.5,GeoID,100.00,80.32,45.21,73.12,86.92,79.45,96.04,87.50,80.95,77.31,93.86,40.09,78.40
NMI,0.5,SDC,93.96,80.83,43.06,77.66,82.86,77.65,89.32,85.90,84.71,71.67,89.05,37.28,76.16
NMI,0.5,DPN,96.67,72.49,35.37,71.35,78.53,51.49,90.53,74.82,78.44,62.78,93.35,33.10,69.91
NMI,0.5,TAN,99.31,72.49,33.96,70.35,79.02,55.84,90.30,75.63,78.06,64.25,94.12,33.14,70.54
NMI,0.5,LOOP,97.30,79.67,45.87,74.42,88.13,80.91,95.93,89.31,84.39,78.28,93.96,37.82,78.83
NMI,0.5,ALUP,99.76,78.78,43.89,75.56,88.12,78.44,96.17,88.12,83.46,76.96,94.22,40.02,78.62
NMI,0.75,DAL,96.46,75.64,43.98,72.64,84.12,73.56,95.10,84.74,80.53,84.29,94.02,38.01,76.92
NMI,0.75,GeoID,100.00,85.72,48.95,79.04,90.30,82.03,97.16,90.22,85.49,85.22,95.33,42.86,81.86
NMI,0.75,SDC,98.20,87.32,50.01,85.96,89.35,81.38,93.68,90.47,88.87,81.95,92.81,43.52,81.96
NMI,0.75,DPN,98.69,80.70,45.87,81.72,86.41,68.56,94.89,84.80,84.87,76.47,95.22,41.51,78.31
NMI,0.75,TAN,99.55,80.59,45.23,81.35,86.47,72.93,94.51,84.66,84.63,75.81,95.34,40.59,78.47
NMI,0.75,LOOP,99.11,83.17,47.86,80.72,91.10,82.85,97.48,90.99,87.32,83.68,94.65,42.98,81.83
NMI,0.75,ALUP,99.72,84.32,48.26,81.22,91.00,82.42,97.27,90.65,87.68,82.58,95.39,42.92,81.95
