Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
NMI,0.25,DAL,80.41,49.71,14.10,56.76,70.47,51.67,88.24,71.80,67.14,58.07,92.33,26.64,60.61
NMI,0.25,GeoID,99.22,73.89,39.74,63.61,80.45,70.78,92.78,81.85,72.54,55.57,90.75,33.54,71.23
NMI,0.25,SDC,79.04,63.37,27.16,60.78,67.44,61.87,84.86,76.85,68.51,42.40,86.88,36.12,62.94
NMI,0.25,DPN,90.22,61.47,15.62,59.58,61.79,27.63,79.68,64.10,65.82,43.42,91.02,24.00,57.03
NMI,0.25,TAN,91.14,65.69,17.76,69.36,62.79,27.84,81.10,65.26,66.07,46.61,90.78,27.47,59.32
NMI,0.25,LOOP,94.17,73.53,42.32,65.33,81.89,74.77,94.11,83.90,80.19,50.91,90.71,34.62,72.20
NMI,0.25,ALUP,95.55,79.30,42.70,64.41,81.39,73.59,93.79,83.49,79.60,64.16,92.70,35.40,73.84
NMI,0.5,DAL,96.00,63.23,25.37,63.10,76.23,67.20,91.50,77.55,72.46,69.28,92.97,27.31,68.52
NMI,0.5,GeoID,99.86,78.27,42.28,69.33,84.28,75.20,94.34,85.27,76.35,58.31,92.56,36.16,74.35
NMI,0.5,SDC,92.78,76.10,38.40,70.16,76.07,69.17,88.98,81.20,77.02,65.74,89.25,34.99,71.66
NMI,0.5,DPN,95.78,65.83,27.72,65.56,73.93,48.94,89.20,71.87,73.24,53.90,92.23,28.64,65.57
NMI,0.5,TAN,99.10,75.64,30.94,77.34,73.79,48.72,88.04,71.48,76.54,58.20,93.54,30.30,68.64
NMI,0.5,LOOP,96.71,78.09,43.90,67.84,84.40,77.56,95.05,86.11,79.55,51.93,92.33,34.13,73.97
NMI,0.5,ALUP,98.67,81.61,43.56,71.15,84.14,75.82,94.72,85.11,81.97,71.89,93.56,35.38,76.46
NMI,0.75,DAL,97.91,75.77,39.46,68.02,79.38,72.44,93.24,81.27,74.38,77.45,93.16,34.21,73.89
NMI,0.75,GeoID,99.19,80.56,45.16,72.80,86.12,76.57,95.23,86.57,78.72,55.05,93.47,38.94,75.70
NMI,0.75,SDC,96.76,81.09,43.69,77.09,82.55,74.43,91.89,85.65,80.89,72.89,91.88,41.31,76.68
NMI,0.75,DPN,99.23,77.11,39.53,74.74,79.66,66.69,92.88,79.64,79.05,66.66,93.46,35.92,73.71
NMI,0.75,TAN,99.88,80.82,41.39,80.87,81.14,62.65,92.21,78.61,80.30,66.30,94.20,36.23,74.55
NMI,0.75,LOOP,98.54,81.39,45.68,72.30,87.10,79.20,96.18,86.98,80.14,71.42,93.13,37.86,77.49
NMI,0.75,ALUP,99.28,83.97,46.21,76.90,86.72,77.72,95.98,87.10,82.76,75.27,94.08,37.97,78.66
