Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
N-ACC,0.25,DAL,64.23,34.86,18.85,33.60,49.62,52.47,70.66,50.61,52.24,48.31,77.08,16.86,47.45
N-ACC,0.25,GeoID,99.96,69.80,56.57,38.16,65.59,76.40,81.83,68.15,59.38,60.94,73.37,21.34,64.29
N-ACC,0.25,SDC,67.75,72.13,48.14,44.55,42.91,76.40,61.03,60.64,67.87,48.13,61.53,25.20,56.36
N-ACC,0.25,DPN,72.77,36.97,16.81,27.15,23.27,4.48,42.63,20.02,44.67,24.29,67.69,20.60,33.45
N-ACC,0.25,TAN,89.41,56.95,28.53,31.36,32.38,15.83,50.82,29.61,50.47,27.84,73.03,22.12,42.36
N-ACC,0.25,LOOP,83.89,62.37,52.45,38.57,64.83,79.16,84.23,70.55,62.28,65.46,74.67,19.42,63.16
N-ACC,0.25,ALUP,98.45,70.39,53.84,38.37,67.54,79.56,83.56,70.18,69.48,60.78,78.54,18.06,65.73
N-ACC,0.5,DAL,88.41,38.98,26.64,41.26,54.78,65.10,72.41,60.16,52.50,50.92,78.04,9.89,53.26
N-ACC,0.5,GeoID,100.00,74.08,52.34,44.28,64.90,80.77,84.04,71.17,56.83,59.13,73.81,15.77,64.76
N-ACC,0.5,SDC,90.04,86.75,62.14,67.88,64.04,86.57,67.95,77.71,79.75,63.22,68.04,16.07,69.18
N-ACC,0.5,DPN,84.60,43.13,31.62,29.07,24.90,11.51,51.00,29.72,54.13,25.45,68.68,16.48,39.19
N-ACC,0.5,TAN,96.42,55.69,32.48,32.13,39.63,33.10,55.09,33.52,53.79,30.28,74.56,16.26,46.08
N-ACC,0.5,LOOP,87.93,70.42,50.88,45.69,68.53,83.04,82.88,75.16,62.37,59.84,75.63,13.50,64.66
N-ACC,0.5,ALUP,99.79,70.12,51.58,41.92,69.41,76.63,84.68,73.71,62.72,65.12,77.71,16.66,65.84
N-ACC,0.75,DAL,82.91,44.67,34.35,49.24,51.39,56.18,70.14,58.31,57.63,53.16,75.88,21.20,54.59
N-ACC,0.75,GeoID,100.00,72.78,55.94,51.09,64.53,77.18,83.89,69.79,54.43,62.61,71.79,21.40,65.45
N-ACC,0.75,SDC,95.05,89.62,71.75,57.57,79.42,89.32,80.32,88.98,86.41,79.54,77.70,16.24,75.99
N-ACC,0.75,DPN,89.76,32.76,31.15,25.97,32.32,22.68,54.35,31.11,46.06,30.01,70.87,21.46,40.71
N-ACC,0.75,TAN,95.24,49.69,34.44,38.74,39.46,53.11,54.18,37.69,50.01,32.17,72.29,18.90,47.99
N-ACC,0.75,LOOP,95.54,68.82,41.75,53.76,64.95,78.63,84.98,73.85,63.56,63.90,74.74,20.72,65.43
N-ACC,0.75,ALUP,99.78,66.61,43.20,47.79,69.18,78.71,84.70,73.05,66.64,59.38,76.89,21.54,65.62
