Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
ARI,0.25,DAL,70.64,34.50,9.06,20.73,41.24,41.04,67.23,39.55,38.78,41.09,75.18,43.55
ARI,0.25,GeoID,99.24,66.54,32.86,25.75,58.90,62.76,74.08,59.23,48.63,46.16,73.84,58.91
ARI,0.25,SDC,54.78,45.82,18.10,36.89,31.42,52.56,46.77,45.83,47.35,26.66,53.32,41.77
ARI,0.25,DPN,77.10,42.21,11.13,30.98,27.31,12.78,40.65,19.70,41.98,19.78,62.97,35.14
ARI,0.25,TAN,87.04,55.20,15.05,30.15,36.21,22.43,52.48,27.95,50.08,25.71,72.75,43.19
ARI,0.25,LOOP,87.88,62.72,35.05,25.81,61.56,69.68,81.65,65.41,49.54,49.93,74.58,60.35
ARI,0.25,ALUP,96.32,66.15,33.66,32.25,59.72,65.20,78.53,62.35,59.54,49.02,77.73,61.86
ARI,0.5,DAL,95.32,50.05,23.39,29.66,53.23,57.09,74.66,56.42,44.86,59.81,78.42,56.63
ARI,0.5,GeoID,100.00,71.10,39.94,37.77,67.80,70.70,82.59,69.75,55.30,61.67,78.88,66.86
ARI,0.5,SDC,82.49,67.35,33.51,54.02,51.74,67.51,58.38,60.08,65.09,53.84,61.72,59.61
ARI,0.5,DPN,90.58,55.96,22.14,45.85,44.39,37.78,59.37,39.95,60.92,38.27,74.14,51.76
ARI,0.5,TAN,95.77,66.85,26.00,48.07,51.44,44.57,66.22,44.88,61.09,40.74,77.52,56.65
ARI,0.5,LOOP,90.87,63.74,37.53,32.41,68.80,73.78,86.26,71.99,59.87,62.22,78.80,66.02
ARI,0.5,ALUP,97.26,71.63,37.04,46.10,68.23,72.58,83.88,69.68,63.88,61.46,80.66,68.40
ARI,0.75,DAL,96.72,66.86,33.44,32.74,61.30,63.17,82.46,63.59,53.27,67.52,80.83,63.81
ARI,0.75,GeoID,99.14,81.69,42.39,46.32,74.28,74.98,85.87,75.70,65.40,73.94,83.62,73.03
ARI,0.75,SDC,94.00,78.53,42.68,75.53,68.77,75.62,74.56,72.29,74.46,65.93,73.51,72.35
ARI,0.75,DPN,98.86,67.41,37.62,69.90,65.32,59.84,78.32,60.46,72.26,56.64,80.28,67.90
ARI,0.75,TAN,98.43,73.18,38.66,65.18,66.71,66.11,79.64,62.65,70.72,59.60,83.21,69.46
ARI,0.75,LOOP,95.14,78.56,42.47,42.79,76.48,77.61,89.76,76.33,65.99,70.22,81.93,72.48
ARI,0.75,ALUP,98.52,80.70,43.73,64.98,77.12,77.82,89.82,75.26,74.68,68.35,83.65,75.88
